Terrain_Aspect,Burn_Treatment,Vegetation_Type,Thermo_Mid_Max,Thermo_Low_Max,Soil_Texture,Slope_Position,Horizon_Wet_Mass_g,Moisture_Index,Horizon_Dry_Mass_g,Horizon_Thickness_cm,Core_Wet_Mass_g,Core_Dry_Mass_g,Soil_pH,Total_Carbon_Percentage,Dry_Horizon_Mass_Loss_g,Horizon_Thickness_Loss_cm,Latitude,Leading_Vegetation_Species,Longitude
SSE,dry,Betula_papyrifera,298.4965,63.9395,sand,Middle,268.7351608,0.011655012,265.6030493,5,303.95,297.290105,5.41,0.843660414,3.613228139,0,60.035861,Betula_papyrifera,-113.4598175
NW,dry,Populus_tremuloides,449.498,80.1353,sandy loam,Lower,177.8,0.127462434,155.1371792,6,177.8,155.1371792,6.76,6.724472046,27.73914828,1,60.039176,Populus_tremuloides,-113.1781014
SSE,wet,Populus_tremuloides,39.6195,25.8943,sand,Middle,42.65,0.296268495,30.01414869,3.5,375.34,341.1617219,5.21,23.92676926,11.00409844,1,60.034861,Populus_tremuloides,-113.1243531
NW,dry,Pinus_contorta,320.5581,46.0235,sandy loam,Middle,18.56,0.031499013,17.97537832,3.5,291.54,309.8131086,7.45,2.865058661,-2.152310838,1,59.472984,Pinus_contorta,-112.5795827
NW,dry,Pinus_contorta,346.8191,75.3435,sandy loam,Middle,218.3969402,0.061181435,205.035102,4.5,262.83,244.0138042,3.86,0.992093503,0,0,59.461439,Pinus_contorta,-112.7412918
West,dry,Populus_tremuloides,131.0088,42.6562,clay loam,Upper,348.9901935,0.022202487,341.2417434,6,364.69,355.6737721,4.31,1.025709271,1.276312195,0,59.41061,Populus_tremuloides,-112.4716825
NW,wet,Pinus_contorta,26.1778,27.8796,sandy loam,Middle,50.62,0.350036823,32.90113602,5.5,229.78,199.9626877,3.76,40.36032867,10.66071319,1.2,59.472084,Pinus_contorta,-113.5700411
NW,dry,Populus_tremuloides,320.5581,46.0235,sandy loam,Middle,272.98,0.069080996,291.8377303,6.5,291.54,309.8131086,3.79,1.492272258,49.34172592,0,59.471984,Populus_tremuloides,-113.3889454
ESE,wet,Populus_tremuloides,28.6393,24.9915,sandy loam,Middle,133.69,0.324097057,90.36146444,5.822289157,133.69,90.36146444,5.12,22.2735424,17.77,1,59.462397,Populus_tremuloides,-112.6625383
SSE,dry,Abies_lasiocarpa,298.4965,63.9395,sand,Middle,35.21483924,0.100178891,31.6870557,5,303.95,297.290105,7.94,2.850503445,9.640670159,1.5,60.034961,Abies_lasiocarpa,-113.4291813
NW,dry,Populus_tremuloides,449.498,80.1353,sandy loam,Lower,177.8,0.127462434,155.1371792,6,177.8,155.1371792,6.76,6.724472046,27.73914828,1,60.039276,Populus_tremuloides,-112.7234527
West,dry,Pinus_contorta,131.0088,42.6562,clay loam,Upper,348.9901935,0.022202487,341.2417434,6,364.69,355.6737721,4.31,1.025709271,1.276312195,0,59.41061,Pinus_contorta,-112.6529419
NW,dry,Picea_glauca,320.5581,46.0235,sandy loam,Middle,18.56,0.031499013,17.97537832,3.5,291.54,309.8131086,7.45,2.865058661,-2.152310838,1,59.471994,Picea_glauca,-112.8226752
SSE,wet,Picea_glauca,39.6195,25.8943,sand,Middle,332.69,0.064752252,311.1475732,6.5,375.34,341.1617219,5.42,0.839808643,0,0,60.034861,Picea_glauca,-112.7229891
NW,wet,Picea_glauca,26.1778,27.8796,sandy loam,Middle,179.16,0.067528736,167.0615517,4.5,229.78,199.9626877,3.53,1.555209637,0,0,59.472984,Picea_glauca,-112.6631736
West,dry,Picea_glauca,131.0088,42.6562,clay loam,Upper,348.9901935,0.022202487,341.2417434,6,364.69,355.6737721,4.31,1.025709271,1.276312195,0,59.471994,Picea_glauca,-113.1995553
NW,wet,Betula_papyrifera,26.1778,27.8796,sandy loam,Middle,179.16,0.067528736,167.0615517,4.5,229.78,199.9626877,3.53,1.555209637,0,0,59.472111,Betula_papyrifera,-113.3986077
NW,dry,Pinus_contorta,449.498,80.1353,sandy loam,Lower,177.8,0.127462434,155.1371792,6,177.8,155.1371792,6.76,6.724472046,27.73914828,1,59.472002,Pinus_contorta,-112.7546299
S,wet,Picea_glauca,30.4327,25.8745,sandy loam,Level,185.9,0.232662138,142.6481086,5.822289157,185.9,142.6481086,5.14,7.921103001,7.192257786,0.5,59.472345,Picea_glauca,-113.155621
West,wet,Populus_tremuloides,31.8064,29.3401,clay loam,Upper,363.96,0.045891932,347.2571725,6,401.08,368.2813937,4.04,0.918253005,0,0,59.472484,Populus_tremuloides,-113.6170833
NW,dry,Populus_tremuloides,346.8191,75.3435,sandy loam,Middle,44.43305985,0.122754491,38.9787022,5.5,262.83,244.0138042,7.65,29.27008247,33.4429954,1.8,59.472584,Populus_tremuloides,-112.9392632
NW,wet,Abies_lasiocarpa,26.1778,27.8796,sandy loam,Middle,50.62,0.350036823,32.90113602,5.5,229.78,199.9626877,3.76,40.36032867,10.66071319,1.2,59.472304,Abies_lasiocarpa,-112.9142135
West,dry,Pinus_contorta,131.0088,42.6562,clay loam,Upper,348.9901935,0.022202487,341.2417434,6,364.69,355.6737721,4.31,1.025709271,1.276312195,0,59.472494,Pinus_contorta,-113.3763924
SSE,dry,Betula_papyrifera,298.4965,63.9395,sand,Middle,35.21483924,0.100178891,31.6870557,5,303.95,297.290105,7.94,2.850503445,9.640670159,1.5,59.471974,Betula_papyrifera,-112.9134764
NW,wet,Abies_lasiocarpa,34.0204,26.1759,sandy loam,Middle,264.9,0.043620502,253.3449291,5.5,309.43,296.6621073,3.87,2.373041391,0,0,59.471985,Abies_lasiocarpa,-112.6393442
SSE,dry,Populus_tremuloides,298.4965,63.9395,sand,Middle,268.7351608,0.011655012,265.6030493,5,303.95,297.290105,5.41,0.843660414,3.613228139,0,59.471983,Populus_tremuloides,-112.6001437
West,dry,Pinus_contorta,131.0088,42.6562,clay loam,Upper,348.9901935,0.022202487,341.2417434,6,364.69,355.6737721,4.31,1.025709271,1.276312195,0,59.471987,Pinus_contorta,-112.9147268
West,dry,Picea_glauca,131.0088,42.6562,clay loam,Upper,15.69980651,0.080751174,14.4320287,4,364.69,355.6737721,7.25,26.2627449,9.264482407,1.5,59.471988,Picea_glauca,-113.1043344
NW,wet,Betula_papyrifera,34.0204,26.1759,sandy loam,Middle,44.53,0.027236061,43.31717819,4.5,309.43,296.6621073,5.25,36.06827927,25.07027006,0.2,59.471989,Betula_papyrifera,-113.4409124
NW,dry,Betula_papyrifera,320.5581,46.0235,sandy loam,Middle,272.98,0.069080996,291.8377303,6.5,291.54,309.8131086,3.79,1.492272258,49.34172592,0,59.47199,Betula_papyrifera,-112.7691226
NW,dry,Picea_glauca,320.5581,46.0235,sandy loam,Middle,272.98,0.069080996,291.8377303,6.5,291.54,309.8131086,3.79,1.492272258,49.34172592,0,59.471991,Picea_glauca,-113.4345427
SSE,dry,Pinus_contorta,298.4965,63.9395,sand,Middle,268.7351608,0.011655012,265.6030493,5,303.95,297.290105,5.41,0.843660414,3.613228139,0,59.471994,Pinus_contorta,-112.5116466
SSE,dry,Pinus_contorta,298.4965,63.9395,sand,Middle,268.7351608,0.011655012,265.6030493,5,303.95,297.290105,5.41,0.843660414,3.613228139,0,59.471993,Pinus_contorta,-113.136159
NW,wet,Populus_tremuloides,34.0204,26.1759,sandy loam,Middle,44.53,0.027236061,43.31717819,4.5,309.43,296.6621073,5.25,36.06827927,25.07027006,0.2,59.471992,Populus_tremuloides,-113.5485058
SSE,wet,Picea_glauca,39.6195,25.8943,sand,Middle,332.69,0.064752252,311.1475732,6.5,375.34,341.1617219,5.42,0.839808643,0,0,59.471996,Picea_glauca,-113.3729308
West,wet,Abies_lasiocarpa,31.8064,29.3401,clay loam,Upper,363.96,0.045891932,347.2571725,6,401.08,368.2813937,4.04,0.918253005,0,0,59.471995,Abies_lasiocarpa,-112.5807429
West,dry,Pinus_contorta,131.0088,42.6562,clay loam,Upper,348.9901935,0.022202487,341.2417434,6,364.69,355.6737721,4.31,1.025709271,1.276312195,0,59.471997,Pinus_contorta,-112.8018085
NW,dry,Betula_papyrifera,346.8191,75.3435,sandy loam,Middle,44.43305985,0.122754491,38.9787022,5.5,262.83,244.0138042,7.65,29.27008247,33.4429954,1.8,59.471998,Betula_papyrifera,-113.5471765
